"","contact_serial_no","infant_serial_no","contact_age","contact_time"
"333","4C-02-002-04","4C-02-002",37,3
"334","4C-02-002-05","4C-02-002",40,3
"335","4C-02-002-06","4C-02-002",55,2
"336","4C-02-002-07","4C-02-002",40,2
"337","4C-02-003-01","4C-02-003",36,3
"338","4C-02-003-02","4C-02-003",36,3
"339","4C-02-003-03","4C-02-003",62,3
"340","4C-02-003-04","4C-02-003",40,2
"341","4C-02-003-05","4C-02-003",60,3
"342","4C-02-003-06","4C-02-003",9,2
"343","4C-02-004-01","4C-02-004",34,3
"344","4C-02-004-02","4C-02-004",39,3
"345","4C-02-004-03","4C-02-004",35,3
"346","4C-02-004-04","4C-02-004",40,3
"347","4C-02-005-01","4C-02-005",31,3
"348","4C-02-005-02","4C-02-005",33,3
"349","4C-02-005-03","4C-02-005",65,2
"350","4C-02-005-04","4C-02-005",40,2
"351","4C-02-005-05","4C-02-005",10,2
"352","4C-02-005-06","4C-02-005",42,2
"353","4C-02-005-07","4C-02-005",70,2
"354","4C-02-006-01","4C-02-006",29,3
"355","4C-02-006-02","4C-02-006",57,3
"356","4C-02-006-03","4C-02-006",56,2
"357","4C-02-006-04","4C-02-006",32,2
"358","4C-02-007-01","4C-02-007",31,3
"359","4C-02-007-02","4C-02-007",39,3
"360","4C-02-007-03","4C-02-007",34,2
"361","4C-02-007-04","4C-02-007",5,3
"362","4C-02-007-05","4C-02-007",43,3
"363","4C-02-007-06","4C-02-007",64,2
"364","4C-02-007-07","4C-02-007",10,2
"365","4C-02-008-01","4C-02-008",30,3
"366","4C-02-008-02","4C-02-008",53,3
"367","4C-02-008-03","4C-02-008",4,2
"368","4C-02-008-04","4C-02-008",55,3
"369","4C-02-009-01","4C-02-009",43,3
"370","4C-02-009-02","4C-02-009",45,3
"371","4C-02-009-03","4C-02-009",14,3
"372","4C-02-010-01","4C-02-010",27,3
"373","4C-02-010-02","4C-02-010",53,3
"374","4C-02-010-03","4C-02-010",30,3
"375","4C-02-010-04","4C-02-010",59,3
"376","4C-02-011-01","4C-02-011",35,3
"377","4C-02-011-02","4C-02-011",36,3
"378","4C-02-011-03","4C-02-011",70,2
"379","4C-02-011-04","4C-02-011",47,3
"380","4C-02-011-05","4C-02-011",6,2
"381","4C-02-012-01","4C-02-012",49,3
"382","4C-02-012-02","4C-02-012",25,3
"383","4C-02-012-03","4C-02-012",50,2
"384","4C-02-012-04","4C-02-012",25,2
"385","4C-02-013-01","4C-02-013",60,3
"386","4C-02-013-02","4C-02-013",24,3
"387","4C-02-013-03","4C-02-013",61,2
"388","4C-02-013-04","4C-02-013",27,2
"389","4C-02-014-01","4C-02-014",27,3
"390","4C-02-014-02","4C-02-014",64,3
"391","4C-02-014-03","4C-02-014",29,2
"392","4C-02-015-01","4C-02-015",34,3
"393","4C-02-015-02","4C-02-015",62,3
"394","4C-02-015-03","4C-02-015",42,2
"395","4C-02-015-04","4C-02-015",13,2
"396","4C-02-015-05","4C-02-015",10,2
"397","4C-02-015-06","4C-02-015",36,2
"398","4C-02-016-01","4C-02-016",25,3
"399","4C-02-016-02","4C-02-016",40,2
"400","4C-02-016-03","4C-02-016",25,2
"401","4C-02-016-04","4C-02-016",13,2
"402","4C-02-017-01","4C-02-017",31,3
"403","4C-02-017-02","4C-02-017",53,3
"404","4C-02-017-03","4C-02-017",55,2
"405","4C-02-017-04","4C-02-017",35,3
"406","4C-02-018-01","4C-02-018",26,3
"407","4C-02-018-02","4C-02-018",52,3
"408","4C-02-018-03","4C-02-018",51,2
"409","4C-02-018-04","4C-02-018",30,2
"410","4C-02-019-01","4C-02-019",29,3
"411","4C-02-019-02","4C-02-019",33,3
"412","4C-02-019-03","4C-02-019",55,2
